% Model:              FCC-ee, Allegro, MM, 4.5 m, 2 layers, 5 modules, stray magnetic field evaluation, 22-4-26.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 24 2026, 15:19
% Dimension:          2
% Nodes:              6561
% Expressions:        2
% Description:        Magnetic flux density, r-component, Magnetic flux density, z-component
% Length unit:        m
% r                       z                        mf.Br (T)                mf.Bz (T)
0                         0                        3.365752707438219E-4     2.0186134586508513
0.1                       0                        2.0352071107954117E-4    2.0185425998432174
0.2                       0                        3.615046707494684E-4     2.020492141636602
0.30000000000000004       0                        3.341377660330084E-4     2.0237488214921795
0.4                       0                        3.638438085543094E-4     2.0283204091227907
0.5                       0                        3.7024151567521823E-4    2.0342083342882806
0.6000000000000001        0                        3.7890309167861364E-4    2.0414192705073413
0.7000000000000001        0                        3.8434566373218046E-4    2.049959664151536
0.8                       0                        3.869350962681927E-4     2.059836559483354
0.9                       0                        3.8757951967838267E-4    2.0710564446262936
1                         0                        3.8712457853407056E-4    2.0836246023427454
1.1                       0                        3.8580578254060976E-4    2.0975440533000267
1.2000000000000002        0                        3.8360983194429815E-4    2.11281457974831
1.3                       0                        3.804581360738596E-4     2.129431635301918
1.4000000000000001        0                        3.7624575633340583E-4    2.1473852287592465
1.5                       0                        3.7087338949485604E-4    2.166658875154117
1.6                       0                        3.642973495354695E-4     2.187228825595868
1.7000000000000002        0                        3.5662647900297164E-4    2.2090639586891943
1.8                       0                        3.482789528498466E-4     2.232127057122213
1.9000000000000001        0                        3.402690616383096E-4     2.2563788624140844
2                         0                        3.347213811011329E-4     2.281787528747671
2.1                       0                        3.3574184682617583E-4    2.308348384434187
2.2                       0                        3.5199752689669077E-4    2.336122895311299
2.3000000000000003        0                        3.96692339112702E-4      2.3653114662451573
2.4000000000000004        0                        4.937177648637695E-4     2.3963804565836
2.5                       0                        6.517658992095222E-4     2.4302502772218304
2.6                       0                        9.148602821194519E-4     2.468353613743812
2.7                       0                        -1.2147268710312649E-4   2.5137669801149216
2.8000000000000003        0                        -6.191348031084739E-6    2.566137387546681
2.9000000000000004        0                        -0.05827050444238544     1.3479817555431226
3                         0                        -1.031379811896234E-5    -0.348206463177424
3.1                       0                        -6.39576516123857E-5     -0.29562666459630604
3.2                       0                        1.586198653313886E-5     -2.3242170881527535
3.3000000000000003        0                        7.029826316752542E-6     -0.23392771110660637
3.4000000000000004        0                        -4.597301062189859E-6    -2.2865818365675867
3.5                       0                        3.3596789503619697E-6    -2.2739817180114574
3.6                       0                        -2.8292002853341846E-6   -0.18585589040134842
3.7                       0                        1.8968529963564609E-6    -2.2483088273083105
3.8000000000000003        0                        1.8331814640317275E-5    -2.235315011006976
3.9000000000000004        0                        1.3570462879915094E-5    -0.1556613091965795
4                         0                        -2.1746611409412253E-6   -2.215781645590056
4.1000000000000005        0                        1.3072161248312955E-6    -2.2085526436626806
4.2                       0                        -2.1624677244636543E-6   -0.13029874294009658
4.3                       0                        -1.577451207383494E-5    -2.192621039537402
